genome	n_genes_called	n_genes_mapped	n_contigs	taxonomic_level	proportion_genes_retained_in_major_clades	genes_retained_index	clade_separation_score	contamination_portion	n_effective_surplus_clades	mean_hit_identity	reference_representation_score	pass.GUNC
GCA_047974065.1	4534	4470	82	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_047974185.1	4375	4325	62	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_047974235.1	4265	4222	58	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_047974255.1	4328	4291	167	kingdom	1.0	0.99	0.0	0.0	0.0	0.97	0.97	True
GCA_048001375.1	4761	4694	89	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_048001735.1	4553	4479	43	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.93	True
GCA_048015985.1	4598	4519	36	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.92	True
GCA_048016005.1	4603	4524	38	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.92	True
GCA_048016105.1	4614	4535	37	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.92	True
GCA_048020355.1	4327	4275	57	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_048034475.1	4446	4387	34	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_048090315.1	4404	4352	44	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_048099755.1	4522	4450	78	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.93	True
GCA_048099815.1	4587	4489	55	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.92	True
GCA_048161885.1	4695	4629	74	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_048223195.1	4654	4585	78	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.92	True
GCA_048223215.1	4413	4359	37	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_048223315.1	4627	4569	95	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_048223355.1	4496	4431	45	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_048223415.1	4419	4369	42	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_048223495.1	4473	4403	36	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.93	True
GCA_048323855.1	5592	5497	1233	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.92	True
GCA_048323935.1	5573	5478	1217	kingdom	1.0	0.98	0.0	0.0	0.0	0.93	0.92	True
GCA_048693115.1	5015	4927	136	kingdom	1.0	0.98	0.0	0.0	0.0	0.93	0.92	True
GCA_048696695.1	4492	4431	36	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_048696755.1	4266	4221	28	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_048696835.1	4594	4524	42	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.93	True
GCA_048698915.1	4561	4471	82	kingdom	1.0	0.98	0.0	0.0	0.0	0.93	0.92	True
GCA_048698935.1	4635	4569	59	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.93	True
GCA_048698955.1	4634	4560	67	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.93	True
GCA_048698975.1	4685	4623	78	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_048698995.1	4364	4306	33	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_048699015.1	4121	4089	171	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_048699035.1	4672	4576	70	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.92	True
GCA_048699055.1	4401	4348	51	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_048699075.1	4310	4224	228	kingdom	1.0	0.98	0.0	0.0	0.0	0.97	0.95	True
GCA_048708655.1	4634	4551	46	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.92	True
GCA_048744935.1	4393	4340	67	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_048757535.1	4324	4262	44	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_048757575.1	4256	4214	58	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_048757595.1	4158	4121	178	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_048757615.1	4635	4572	64	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_048759075.1	4569	4495	47	kingdom	1.0	0.98	0.0	0.0	0.0	0.93	0.92	True
GCA_048777545.1	4444	4388	41	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_048777585.1	4386	4333	45	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_048777605.1	4375	4322	42	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_048779305.1	4645	4541	85	kingdom	1.0	0.98	0.0	0.0	0.0	0.93	0.91	True
GCA_048784165.1	4363	4312	38	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_048829225.1	4306	4266	41	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_048829265.1	4666	4602	72	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_048830285.1	4420	4361	34	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_048856525.1	4360	4303	52	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.93	True
GCA_048856585.1	4149	4115	196	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_048856665.1	4287	4225	47	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.93	True
GCA_048856705.1	4145	4114	172	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_048856745.1	5116	5018	169	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.92	True
GCA_048856765.1	4129	4097	202	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_048856785.1	4504	4433	109	kingdom	1.0	0.98	0.0	0.0	0.0	0.93	0.92	True
GCA_048856905.1	4599	4547	89	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_048856925.1	4489	4393	83	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.92	True
GCA_048856945.1	4463	4402	30	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_048875765.1	4197	4169	106	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_048875785.1	4566	4495	55	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.93	True
GCA_048876045.1	4178	4128	79	kingdom	1.0	0.99	0.0	0.0	0.0	0.96	0.95	True
GCA_048877985.1	4904	4825	66	genus	0.87	0.85	0.99	0.03	0.06	0.96	0.82	False
GCA_048879305.1	4311	4267	38	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_048885485.1	4325	4262	52	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.93	True
GCA_048885505.1	4203	4161	216	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_048885605.1	4872	4782	107	kingdom	1.0	0.98	0.0	0.0	0.0	0.93	0.91	True
GCA_048907485.1	4160	4120	20	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_048907525.1	4352	4301	41	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_048943815.1	4098	4064	116	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_048945495.1	4432	4380	45	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_048945515.1	4387	4338	38	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_048946105.1	4574	4519	54	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_048990655.1	4280	4225	41	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049064105.1	4217	4178	42	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_049074965.1	4319	4267	34	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049074985.1	4078	4054	84	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.98	True
GCA_049079425.1	4446	4393	40	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049079445.1	4552	4504	36	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049085555.1	4487	4415	59	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.93	True
GCA_049100975.1	4144	4110	161	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_049101015.1	4517	4450	63	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049101035.1	4241	4197	47	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_049101055.1	4180	4148	167	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_049101075.1	4299	4262	51	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_049101255.1	4138	4110	153	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.99	True
GCA_049101275.1	4843	4777	94	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049146285.1	4437	4399	50	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_049217185.1	4300	4253	28	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_049218105.1	4527	4459	56	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.93	True
GCA_049222585.1	4527	4448	34	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.92	True
GCA_049223565.1	4313	4265	38	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049224085.1	4429	4370	53	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049235825.1	4426	4367	40	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049235865.1	4155	4110	37	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_049236345.1	4695	4639	116	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049236385.1	4645	4590	101	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049237565.1	4221	4191	185	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_049237585.1	4139	4107	176	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_049238325.1	4545	4470	78	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.92	True
GCA_049240105.1	4269	4226	51	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_049256205.1	4474	4427	28	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049263355.1	4284	4240	40	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_049263375.1	4591	4536	89	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049273555.1	4126	4100	185	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_049273655.1	4185	4145	36	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_049293065.1	4250	4219	133	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_049293075.1	4243	4214	128	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_049294325.1	4250	4222	128	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_049294335.1	4248	4220	126	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_049295415.1	4256	4226	132	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_049295435.1	4503	4428	315	kingdom	1.0	0.98	0.0	0.0	0.0	0.97	0.95	True
GCA_049331095.1	4171	4136	134	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_049331115.1	4404	4344	40	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049331135.1	4380	4321	36	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049331155.1	4540	4464	72	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.92	True
GCA_049336105.1	4158	4130	196	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_049343505.1	4262	4214	20	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_049345415.1	4376	4326	32	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049346735.1	4447	4385	49	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049346775.1	4516	4471	42	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_049346795.1	4373	4321	44	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049346935.1	4323	4283	26	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_049355055.1	4594	4505	66	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.92	True
GCA_049355075.1	4154	4116	205	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_049355255.1	4776	4704	83	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.92	True
GCA_049355295.1	4764	4689	83	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.92	True
GCA_049551515.1	4461	4426	63	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_049565455.1	4151	4114	47	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_049565475.1	4554	4471	87	kingdom	1.0	0.98	0.0	0.0	0.0	0.93	0.91	True
GCA_049565495.1	4168	4136	171	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_049565555.1	4260	4207	175	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_049565715.1	4340	4307	36	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_049565875.1	4285	4246	45	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.94	True
GCA_049565955.1	4619	4564	78	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049566035.1	4613	4551	85	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049566095.1	4333	4286	42	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_049567355.1	4555	4486	51	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.93	True
GCA_049567375.1	4290	4237	24	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.93	True
GCA_049640535.1	4335	4284	27	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049716975.1	4389	4340	47	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_049728065.1	4297	4251	43	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_049747115.1	4139	4102	145	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_049747155.1	4134	4099	141	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_049747215.1	4149	4112	126	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_049747515.1	4146	4106	179	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_049747535.1	4158	4129	137	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_049747585.1	4165	4136	120	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_049747635.1	4174	4133	133	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_049747655.1	4128	4093	148	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_049747695.1	4162	4132	114	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_049755695.1	4631	4561	150	kingdom	1.0	0.98	0.0	0.0	0.0	0.96	0.95	True
GCA_049755715.1	4141	4106	133	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_049755735.1	4626	4550	160	kingdom	1.0	0.98	0.0	0.0	0.0	0.97	0.95	True
GCA_049755755.1	4153	4112	150	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_049755775.1	4620	4557	121	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049755795.1	4169	4133	228	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_049755815.1	4155	4121	141	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_049755835.1	4219	4184	76	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_049755855.1	4156	4113	162	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_049755875.1	4474	4409	59	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049755895.1	4701	4640	123	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049755915.1	4561	4495	94	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049755935.1	4154	4121	133	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_049755955.1	4731	4672	87	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049755975.1	4447	4402	66	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_049755995.1	4298	4252	56	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_049756015.1	4152	4121	168	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_049756035.1	4519	4456	97	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049756055.1	4178	4135	154	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_049756075.1	4460	4417	62	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_049756095.1	4564	4497	70	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049756115.1	4508	4452	66	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049756135.1	4576	4526	57	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049756155.1	4147	4114	135	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_049756175.1	4617	4565	65	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049756195.1	4555	4478	49	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.92	True
GCA_049756215.1	4497	4423	57	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.92	True
GCA_049756235.1	4185	4149	200	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_049756255.1	4583	4522	43	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.92	True
GCA_049756275.1	4519	4466	65	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049756295.1	4656	4588	60	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.92	True
GCA_049756315.1	4179	4148	126	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_049756335.1	4557	4504	64	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049756355.1	4183	4145	142	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_049756415.1	4314	4268	47	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_049756435.1	4448	4397	55	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_049756455.1	4178	4140	146	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_049756475.1	4296	4245	40	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049756495.1	4510	4450	72	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049756515.1	4470	4419	58	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_049756535.1	4160	4116	157	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_049756555.1	4509	4431	68	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.92	True
GCA_049756575.1	4149	4113	192	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_049756595.1	4523	4468	74	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049756615.1	4403	4344	60	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.93	True
GCA_049756635.1	4465	4420	72	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_049756655.1	4685	4627	110	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049756675.1	4315	4270	77	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_049756695.1	4163	4126	139	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_049756715.1	4601	4549	65	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049756735.1	4161	4133	111	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_049756755.1	4473	4390	97	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.92	True
GCA_049756775.1	4285	4243	167	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_049756795.1	4259	4226	50	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_049756815.1	4673	4600	121	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.93	True
GCA_049756835.1	4374	4318	72	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049756855.1	4334	4279	58	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.93	True
GCA_049756875.1	4364	4311	39	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049756895.1	4664	4596	83	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049756915.1	4537	4476	74	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.93	True
GCA_049756935.1	4175	4138	138	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_049756955.1	4448	4402	75	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_049756975.1	4241	4194	42	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_049756995.1	4242	4199	43	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_049757015.1	4212	4163	32	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_049757035.1	4153	4116	118	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_049757055.1	4652	4593	76	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049757075.1	4742	4667	89	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.92	True
GCA_049757095.1	4589	4532	61	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049757115.1	4351	4298	34	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.93	True
GCA_049757135.1	4538	4465	61	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.93	True
GCA_049757155.1	4533	4461	59	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.93	True
GCA_049757175.1	4182	4153	111	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_049757195.1	4591	4531	63	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049757215.1	4412	4376	76	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_049757235.1	4632	4565	104	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049757255.1	4531	4474	68	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049757275.1	4168	4131	170	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_049757295.1	4136	4099	167	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_049757315.1	4669	4608	74	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049757335.1	4553	4493	74	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049757355.1	4184	4149	215	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_049757455.1	4435	4375	141	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049757475.1	4682	4623	75	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049757495.1	4170	4130	234	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_049757515.1	4686	4624	70	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049757535.1	4176	4139	163	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_049757555.1	4500	4445	71	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_049757575.1	4623	4562	64	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049757595.1	4187	4146	257	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_049757615.1	4296	4249	37	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_049757635.1	4534	4482	58	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049757655.1	4162	4122	248	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_049757675.1	4504	4456	56	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049757695.1	4411	4357	76	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.93	True
GCA_049757715.1	4175	4138	220	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_049757735.1	4395	4342	74	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.93	True
GCA_049757755.1	4231	4195	123	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_049757775.1	4483	4426	33	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049757795.1	4679	4616	85	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049757805.1	4540	4471	79	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.93	True
GCA_049757835.1	4681	4618	80	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_049757855.1	4171	4142	116	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_049757875.1	4186	4149	139	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_049757895.1	4614	4551	48	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.92	True
GCA_049757915.1	4151	4122	108	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_049757935.1	4459	4392	86	kingdom	1.0	0.98	0.0	0.0	0.0	0.95	0.93	True
GCA_049757955.1	4175	4125	226	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_049757975.1	4703	4642	53	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
