accession	organism_name	biosample	assembly_level	source_database	refseq_category	geo_loc	isolation_source	host	collection_date	serovar	strain_x	host_disease	lat_lon	total_length	contig_n50	scaffold_n50	num_contigs	gc_percent	checkm_completeness	checkm_contamination	species	level_rank	db_rank	source_type	strain_y	isolate	sample_name	collected_by	identified_by	sequencing_tech	assembly_method	bioproject	niche	confidence	matched_term
GCA_046668685.1	Yersinia pestis	SAMN44444992	Contig	SOURCE_DATABASE_GENBANK		China:Qinghai	Marmota himalayana		1974-07-14		12017			4629287	48900	48900	198	47.5	98.69	0.86	Yersinia pestis	3	1		12017					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046668705.1	Yersinia pestis	SAMN44444993	Contig	SOURCE_DATABASE_GENBANK		China:Qinghai	Marmota himalayana		1974-07-01		740381			4629477	48900	48900	205	47.5	98.69	0.96	Yersinia pestis	3	1		740381					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046668665.1	Yersinia pestis	SAMN44444994	Contig	SOURCE_DATABASE_GENBANK		China:Qinghai	Marmota himalayana		1974-07-28		28015			4629209	48900	48900	200	47.5	98.68	0.86	Yersinia pestis	3	1		28015					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046668585.1	Yersinia pestis	SAMN44444995	Contig	SOURCE_DATABASE_GENBANK		China:Qinghai	Marmota himalayana		1974-07-23		02050			4630527	48768	48768	202	47.5	98.69	0.86	Yersinia pestis	3	1		02050					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046668635.1	Yersinia pestis	SAMN44444996	Contig	SOURCE_DATABASE_GENBANK		China:Qinghai	Marmota himalayana		1974-09-01		740363			4628778	48900	48900	198	47.5	98.69	0.86	Yersinia pestis	3	1		740363					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046668615.1	Yersinia pestis	SAMN44444997	Contig	SOURCE_DATABASE_GENBANK		China:Qinghai	Marmota himalayana		1974-09-03		740380			4529980	48900	48900	202	47.5	98.52	0.91	Yersinia pestis	3	1		740380					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046668605.1	Yersinia pestis	SAMN44444998	Contig	SOURCE_DATABASE_GENBANK		China:Gansu	Marmota himalayana		1974-09-30		75053			4625739	49160	49160	201	47.5	98.68	0.86	Yersinia pestis	3	1		75053					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046668565.1	Yersinia pestis	SAMN44444999	Contig	SOURCE_DATABASE_GENBANK		China:Gansu	Marmota himalayana		1974-08-10		75054			4628655	48900	48900	202	47.5	98.69	0.96	Yersinia pestis	3	1		75054					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046668545.1	Yersinia pestis	SAMN44445000	Contig	SOURCE_DATABASE_GENBANK		China:Qinghai	Marmota himalayana		1974-06-16		08010			4638120	48900	48900	209	47.5	98.68	0.86	Yersinia pestis	3	1		08010					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046668505.1	Yersinia pestis	SAMN44445001	Contig	SOURCE_DATABASE_GENBANK		China:Qinghai	Marmota himalayana		1974-07-11		740356			4663803	49244	49244	198	47.5	98.69	0.96	Yersinia pestis	3	1		740356					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046668525.1	Yersinia pestis	SAMN44445002	Contig	SOURCE_DATABASE_GENBANK		China:Qinghai	Marmota himalayana		1974-08-05		740377			4528750	48769	48769	198	47.5	98.68	0.86	Yersinia pestis	3	1		740377					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046668485.1	Yersinia pestis	SAMN44445003	Contig	SOURCE_DATABASE_GENBANK		China:Qinghai	Marmota himalayana		1974-08-09		740378			4717127	49530	49530	206	47.5	98.47	1.08	Yersinia pestis	3	1		740378					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046668465.1	Yersinia pestis	SAMN44445004	Contig	SOURCE_DATABASE_GENBANK		China:Qinghai	Marmota himalayana		1974-07-30		740379			4629202	48900	48900	206	47.5	98.68	0.86	Yersinia pestis	3	1		740379					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046668445.1	Yersinia pestis	SAMN44445005	Contig	SOURCE_DATABASE_GENBANK		China:Qinghai	Marmota himalayana		1974-05-20		19013			4628676	48900	48900	201	47.5	98.68	0.86	Yersinia pestis	3	1		19013					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046668425.1	Yersinia pestis	SAMN44445006	Contig	SOURCE_DATABASE_GENBANK		China:Qinghai	Marmota himalayana		1974-05-20		740349			4629736	48928	48928	210	47.5	98.68	0.86	Yersinia pestis	3	1		740349					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046668405.1	Yersinia pestis	SAMN44445007	Contig	SOURCE_DATABASE_GENBANK		China:Qinghai	Marmota himalayana		1974-09-09		740373			4667322	49244	49244	207	47.5	98.69	0.96	Yersinia pestis	3	1		740373					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046668385.1	Yersinia pestis	SAMN44445008	Contig	SOURCE_DATABASE_GENBANK		China:Inner Mongolia	Spermophilus dauricus		1974-04-23		95038			4653539	53846	53846	195	47.5	98.99	0.86	Yersinia pestis	3	1		95038					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	spermophilus
GCA_046668365.1	Yersinia pestis	SAMN44445009	Contig	SOURCE_DATABASE_GENBANK		China:Inner Mongolia	fox		1975-11-30		91093			4626615	58980	58980	196	47.5	98.44	0.91	Yersinia pestis	3	1		91093					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	fox
GCA_046668315.1	Yersinia pestis	SAMN44445010	Contig	SOURCE_DATABASE_GENBANK		China:Gansu	fox		1975-07-29		75009			4628992	48900	48900	209	47.5	98.68	0.86	Yersinia pestis	3	1		75009					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	fox
GCA_046668285.1	Yersinia pestis	SAMN44445011	Contig	SOURCE_DATABASE_GENBANK		China:Qinghai		Homo sapiens	1975-08-19		15019			4715719	49530	49530	199	47.5	98.48	1.08	Yersinia pestis	3	1		15019					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	H	high	homo sapiens
GCA_046668305.1	Yersinia pestis	SAMN44445012	Contig	SOURCE_DATABASE_GENBANK		China:Xinjiang	Marmota baibacina		1975-09-30		44005			4656940	55791	55791	182	47.5	98.58	0.96	Yersinia pestis	3	1		44005					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046668345.1	Yersinia pestis	SAMN44445013	Contig	SOURCE_DATABASE_GENBANK		China:Qinghai	Marmota himalayana		1975-08-18		10027			4630971	48900	48900	210	47.5	98.68	0.86	Yersinia pestis	3	1		10027					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046668265.1	Yersinia pestis	SAMN44445014	Contig	SOURCE_DATABASE_GENBANK		China:Qinghai	Marmota himalayana		1975-08-18		750383			4628520	48900	48900	201	47.5	98.68	0.86	Yersinia pestis	3	1		750383					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046668225.1	Yersinia pestis	SAMN44445015	Contig	SOURCE_DATABASE_GENBANK		China:Ningxia	Spermophilus dauricus		1975-05-23		124012			4551654	49152	49152	207	47.5	98.69	0.86	Yersinia pestis	3	1		124012					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	spermophilus
GCA_046668185.1	Yersinia pestis	SAMN44445016	Contig	SOURCE_DATABASE_GENBANK		China:Ningxia	Spermophilus dauricus		1975-06-12		124023			4649291	51163	51163	200	47.5	98.99	0.96	Yersinia pestis	3	1		124023					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	spermophilus
GCA_046668245.1	Yersinia pestis	SAMN44445017	Contig	SOURCE_DATABASE_GENBANK		China:Qinghai	Marmota himalayana		1975-07-01		02051			4629430	48900	48900	202	47.5	98.69	0.86	Yersinia pestis	3	1		02051					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046668205.1	Yersinia pestis	SAMN44445018	Contig	SOURCE_DATABASE_GENBANK		China:Qinghai	Marmota himalayana		1975-07-01		750402			4719117	49159	49159	206	47.5	98.44	1.39	Yersinia pestis	3	1		750402					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046668165.1	Yersinia pestis	SAMN44445019	Contig	SOURCE_DATABASE_GENBANK		China:Gansu	Marmota himalayana		1975-08-28		75010			4627967	48929	48929	201	47.5	98.68	0.86	Yersinia pestis	3	1		75010					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046668085.1	Yersinia pestis	SAMN44445020	Contig	SOURCE_DATABASE_GENBANK		China:Gansu	Marmota himalayana		1975-08-28		75012			4629361	48769	48769	204	47.5	98.45	0.86	Yersinia pestis	3	1		75012					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046668125.1	Yersinia pestis	SAMN44445021	Contig	SOURCE_DATABASE_GENBANK		China:Gansu	Marmota himalayana		1975-08-28		75013			4518875	48769	48769	205	47.5	98.68	0.86	Yersinia pestis	3	1		75013					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046668145.1	Yersinia pestis	SAMN44445022	Contig	SOURCE_DATABASE_GENBANK		China:Qinghai	Marmota himalayana		1975-08-18		08012			4629237	48769	48769	203	47.5	98.37	0.86	Yersinia pestis	3	1		08012					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046668105.1	Yersinia pestis	SAMN44445023	Contig	SOURCE_DATABASE_GENBANK		China:Qinghai	Marmota himalayana		1975-07-20		750385			4629002	48900	48900	204	47.5	98.68	0.96	Yersinia pestis	3	1		750385					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046668065.1	Yersinia pestis	SAMN44445024	Contig	SOURCE_DATABASE_GENBANK		China:Qinghai	Marmota himalayana		1975-07-20		750386			4628909	48666	48666	206	47.5	98.68	0.86	Yersinia pestis	3	1		750386					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046668045.1	Yersinia pestis	SAMN44445025	Contig	SOURCE_DATABASE_GENBANK		China:Qinghai	Marmota himalayana		1975-07-20		750387			4716670	49530	49530	203	47.5	98.48	1.08	Yersinia pestis	3	1		750387					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046668005.1	Yersinia pestis	SAMN44445026	Contig	SOURCE_DATABASE_GENBANK		China:Qinghai	Marmota himalayana		1975-07-20		750388			4627699	48900	48900	200	47.5	98.68	0.86	Yersinia pestis	3	1		750388					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046668025.1	Yersinia pestis	SAMN44445027	Contig	SOURCE_DATABASE_GENBANK		China:Qinghai	Marmota himalayana		1975-09-28		15034			4641714	49160	49160	204	47.5	98.64	0.96	Yersinia pestis	3	1		15034					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046667985.1	Yersinia pestis	SAMN44445028	Contig	SOURCE_DATABASE_GENBANK		China:Qinghai	Marmota himalayana		1975-07-22		16008			4706004	48861	48861	212	47.5	98.48	1.08	Yersinia pestis	3	1		16008					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046667965.1	Yersinia pestis	SAMN44445029	Contig	SOURCE_DATABASE_GENBANK		China:Qinghai	Marmota himalayana		1975-06-07		17002			4664406	49244	49244	201	47.5	98.63	0.96	Yersinia pestis	3	1		17002					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046667945.1	Yersinia pestis	SAMN44445030	Contig	SOURCE_DATABASE_GENBANK		China:Qinghai	Marmota himalayana		1975-07-20		750400			4664395	49546	49546	203	47.5	98.69	0.96	Yersinia pestis	3	1		750400					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046667905.1	Yersinia pestis	SAMN44445031	Contig	SOURCE_DATABASE_GENBANK		China:Qinghai	Marmota himalayana		1975-09-03		750404			4664982	49159	49159	205	47.5	98.63	0.96	Yersinia pestis	3	1		750404					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046667885.1	Yersinia pestis	SAMN44445032	Contig	SOURCE_DATABASE_GENBANK		China:Qinghai	sheep		1975-09-04		15018			4711362	49530	49530	196	47.5	98.47	1.08	Yersinia pestis	3	1		15018					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	sheep
GCA_046667925.1	Yersinia pestis	SAMN44445033	Contig	SOURCE_DATABASE_GENBANK		China:Inner Mongolia	flea		1976		146001			4607255	44651	44651	294	47.5	98.95	1.41	Yersinia pestis	3	1		146001					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	flea
GCA_046667865.1	Yersinia pestis	SAMN44445034	Contig	SOURCE_DATABASE_GENBANK		China:Inner Mongolia	flea		1976		146002			4555137	45106	45106	217	47.5	98.95	0.86	Yersinia pestis	3	1		146002					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	flea
GCA_046667845.1	Yersinia pestis	SAMN44445035	Contig	SOURCE_DATABASE_GENBANK		China:Inner Mongolia	Neopsylla bidentatiformis		1976		146008			4579640	45165	45165	223	47.5	98.83	0.91	Yersinia pestis	3	1		146008					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	neopsylla
GCA_046667825.1	Yersinia pestis	SAMN44445036	Contig	SOURCE_DATABASE_GENBANK		China:Tibet	fox		1976-06-16		30015			4678085	49244	49244	196	47.5	98.08	1.34	Yersinia pestis	3	1		30015					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	fox
GCA_046667805.1	Yersinia pestis	SAMN44445037	Contig	SOURCE_DATABASE_GENBANK		China:Qinghai		Homo sapiens	1976-07-18		06002			4643175	49219	49219	196	47.5	98.64	0.96	Yersinia pestis	3	1		06002					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	H	high	homo sapiens
GCA_046667765.1	Yersinia pestis	SAMN44445038	Contig	SOURCE_DATABASE_GENBANK		China:Qinghai		Homo sapiens	1976-08-10		15020			4665735	49368	49368	202	47.5	98.69	0.96	Yersinia pestis	3	1		15020					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	H	high	homo sapiens
GCA_046667785.1	Yersinia pestis	SAMN44445039	Contig	SOURCE_DATABASE_GENBANK		China:Gansu	Marmota himalayana		1976-06-03		71012			4678545	51147	51147	206	47.5	98.89	0.96	Yersinia pestis	3	1		71012					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046667745.1	Yersinia pestis	SAMN44445040	Contig	SOURCE_DATABASE_GENBANK		China:Inner Mongolia	Meriones unguiculatus		1976		146006			4555816	45165	45165	219	47.5	98.8	0.91	Yersinia pestis	3	1		146006					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	meriones
GCA_046667725.1	Yersinia pestis	SAMN44445041	Contig	SOURCE_DATABASE_GENBANK		China:Inner Mongolia	Meriones unguiculatus		1976		146007			4556968	44709	44709	214	47.5	98.95	0.86	Yersinia pestis	3	1		146007					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	meriones
GCA_046667705.1	Yersinia pestis	SAMN44445042	Contig	SOURCE_DATABASE_GENBANK		China:Inner Mongolia	Microtus brandtii		1976-04-27		110002			4627027	58979	58979	191	47.5	98.4	0.91	Yersinia pestis	3	1		110002					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	microtus
GCA_046667685.1	Yersinia pestis	SAMN44445043	Contig	SOURCE_DATABASE_GENBANK		China:Inner Mongolia	Rattus norvegicus		1976-05-09		110003			4654846	49169	49169	207	47.5	98.69	0.96	Yersinia pestis	3	1		110003					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	rat
GCA_046667665.1	Yersinia pestis	SAMN44445044	Contig	SOURCE_DATABASE_GENBANK		China:Ningxia	Spermophilus dauricus		1976-07-30		124018			4551819	51162	51162	207	47.5	98.69	0.86	Yersinia pestis	3	1		124018					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	spermophilus
GCA_046667605.1	Yersinia pestis	SAMN44445045	Contig	SOURCE_DATABASE_GENBANK		China:Ningxia	Spermophilus dauricus		1976-05-12		124028			4578469	45105	45105	217	47.5	98.77	0.91	Yersinia pestis	3	1		124028					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	spermophilus
GCA_046667625.1	Yersinia pestis	SAMN44445046	Contig	SOURCE_DATABASE_GENBANK		China:Xinjiang	Marmota baibacina		1976-07-28		43031			4658242	54773	54773	191	47.5	98.57	0.96	Yersinia pestis	3	1		43031					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046667645.1	Yersinia pestis	SAMN44445047	Contig	SOURCE_DATABASE_GENBANK		China:Xinjiang	Marmota baibacina		1976-09-14		40043			4674161	59230	59230	208	47.5	98.58	0.96	Yersinia pestis	3	1		40043					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046667555.1	Yersinia pestis	SAMN44445048	Contig	SOURCE_DATABASE_GENBANK		China:Tibet	Marmota himalayana		1976-07-24		30002			4676278	49721	49721	184	47.5	98.08	1.34	Yersinia pestis	3	1		30002					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046667545.1	Yersinia pestis	SAMN44445049	Contig	SOURCE_DATABASE_GENBANK		China:Tibet	Marmota himalayana		1976-08-03		30004			4694992	49721	49721	203	47.5	98.08	1.34	Yersinia pestis	3	1		30004					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046667585.1	Yersinia pestis	SAMN44445050	Contig	SOURCE_DATABASE_GENBANK		China:Tibet	Marmota himalayana		1976-08-12		30005			4676127	49721	49721	191	47.5	98.08	1.34	Yersinia pestis	3	1		30005					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046667525.1	Yersinia pestis	SAMN44445051	Contig	SOURCE_DATABASE_GENBANK		China:Tibet	Marmota himalayana		1976-05-31		30006			4577452	49160	49160	194	47.5	98.08	1.24	Yersinia pestis	3	1		30006					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046667505.1	Yersinia pestis	SAMN44445052	Contig	SOURCE_DATABASE_GENBANK		China:Tibet	Marmota himalayana		1976-06-24		30016			4720010	49307	49307	200	47.5	98.84	1.39	Yersinia pestis	3	1		30016					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046667485.1	Yersinia pestis	SAMN44445053	Contig	SOURCE_DATABASE_GENBANK		China:Tibet	Marmota himalayana		1976-06-24		30017			4720509	49160	49160	201	47.5	98.84	1.39	Yersinia pestis	3	1		30017					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046667465.1	Yersinia pestis	SAMN44445054	Contig	SOURCE_DATABASE_GENBANK		China:Tibet	Marmota himalayana		1976-07-06		30018			4719616	49529	49529	199	47.5	98.83	1.39	Yersinia pestis	3	1		30018					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046667425.1	Yersinia pestis	SAMN44445055	Contig	SOURCE_DATABASE_GENBANK		China:Tibet	Marmota himalayana		1976-07-10		30019			4720132	49244	49244	199	47.5	98.84	1.39	Yersinia pestis	3	1		30019					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046667445.1	Yersinia pestis	SAMN44445056	Contig	SOURCE_DATABASE_GENBANK		China:Tibet	Marmota himalayana		1976-07-14		30020			4720556	49244	49244	204	47.5	98.84	1.39	Yersinia pestis	3	1		30020					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046667405.1	Yersinia pestis	SAMN44445057	Contig	SOURCE_DATABASE_GENBANK		China:Tibet	Marmota himalayana		1976-07-24		30022			4719735	49160	49160	199	47.5	98.84	1.39	Yersinia pestis	3	1		30022					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046667325.1	Yersinia pestis	SAMN44445058	Contig	SOURCE_DATABASE_GENBANK		China:Tibet	Marmota himalayana		1976-08-01		30024			4721459	48666	48666	208	47.5	98.84	1.39	Yersinia pestis	3	1		30024					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046667365.1	Yersinia pestis	SAMN44445059	Contig	SOURCE_DATABASE_GENBANK		China:Tibet	Marmota himalayana		1976-08-05		30025			4730112	49530	49530	204	47.5	98.99	1.34	Yersinia pestis	3	1		30025					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046667385.1	Yersinia pestis	SAMN44445060	Contig	SOURCE_DATABASE_GENBANK		China:Gansu	Marmota himalayana		1976-08-30		75014			4629843	48900	48900	207	47.5	98.68	0.86	Yersinia pestis	3	1		75014					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046667345.1	Yersinia pestis	SAMN44445061	Contig	SOURCE_DATABASE_GENBANK		China:Gansu	Marmota himalayana		1976-08-12		77002			4627506	48900	48900	199	47.5	98.69	0.86	Yersinia pestis	3	1		77002					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046667305.1	Yersinia pestis	SAMN44445062	Contig	SOURCE_DATABASE_GENBANK		China:Gansu	Marmota himalayana		1976-08-10		77003			4710384	49160	49160	209	47.5	98.52	1.22	Yersinia pestis	3	1		77003					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046667285.1	Yersinia pestis	SAMN44445063	Contig	SOURCE_DATABASE_GENBANK		China:Qinghai	Marmota himalayana		1976-07-17		19014			4627993	48900	48900	196	47.5	98.68	0.86	Yersinia pestis	3	1		19014					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046667205.1	Yersinia pestis	SAMN44445064	Contig	SOURCE_DATABASE_GENBANK		China:Gansu		Homo sapiens	1977-09-18		78003			4633327	48879	48879	220	47.5	98.68	0.86	Yersinia pestis	3	1		78003					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	H	high	homo sapiens
GCA_046667245.1	Yersinia pestis	SAMN44445065	Contig	SOURCE_DATABASE_GENBANK		China:Qinghai		Homo sapiens	1977-08-30		15035			4664275	49546	49546	203	47.5	98.69	0.96	Yersinia pestis	3	1		15035					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	H	high	homo sapiens
GCA_046667225.1	Yersinia pestis	SAMN44445066	Contig	SOURCE_DATABASE_GENBANK		China:Ningxia	Spermophilus dauricus		1977-05-23		124025			4553618	49170	49170	209	47.5	98.84	0.91	Yersinia pestis	3	1		124025					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	spermophilus
GCA_046667255.1	Yersinia pestis	SAMN44445067	Contig	SOURCE_DATABASE_GENBANK		China:Ningxia	Spermophilus dauricus		1977-05-05		124029			4578660	46891	46891	221	47.5	98.92	0.86	Yersinia pestis	3	1		124029					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	spermophilus
GCA_046667185.1	Yersinia pestis	SAMN44445068	Contig	SOURCE_DATABASE_GENBANK		China:Ningxia	Spermophilus dauricus		1977-06-18		124030			4578150	46891	46891	215	47.5	98.77	0.91	Yersinia pestis	3	1		124030					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	spermophilus
GCA_046667125.1	Yersinia pestis	SAMN44445069	Contig	SOURCE_DATABASE_GENBANK		China:Qinghai	Marmota himalayana		1977-07-25		19022			4705416	51091	51091	201	47.5	98.74	1.35	Yersinia pestis	3	1		19022					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046667165.1	Yersinia pestis	SAMN44445070	Contig	SOURCE_DATABASE_GENBANK		China:Qinghai	Marmota himalayana		1977-07-21		700433			4704678	51164	51164	197	47.5	98.74	1.35	Yersinia pestis	3	1		700433					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046667145.1	Yersinia pestis	SAMN44445071	Contig	SOURCE_DATABASE_GENBANK		China:Qinghai	Marmota himalayana		1977-07-03		770428			4704375	53846	53846	197	47.5	98.74	1.35	Yersinia pestis	3	1		770428					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046667105.1	Yersinia pestis	SAMN44445072	Contig	SOURCE_DATABASE_GENBANK		China:Qinghai	Marmota himalayana		1977-07-13		770429			4704505	53846	53846	199	47.5	98.74	1.35	Yersinia pestis	3	1		770429					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046667085.1	Yersinia pestis	SAMN44445073	Contig	SOURCE_DATABASE_GENBANK		China:Qinghai	Marmota himalayana		1977-07-13		770430			4605601	49553	49553	198	47.5	98.89	1.31	Yersinia pestis	3	1		770430					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046667045.1	Yersinia pestis	SAMN44445074	Contig	SOURCE_DATABASE_GENBANK		China:Qinghai	Marmota himalayana		1977-07-13		770431			4704161	53846	53846	198	47.5	98.74	1.35	Yersinia pestis	3	1		770431					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046667005.1	Yersinia pestis	SAMN44445075	Contig	SOURCE_DATABASE_GENBANK		China:Qinghai	Marmota himalayana		1977-07-21		770432			4604252	53586	53586	193	47.5	98.89	1.31	Yersinia pestis	3	1		770432					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046667065.1	Yersinia pestis	SAMN44445076	Contig	SOURCE_DATABASE_GENBANK		China:Qinghai	Marmota himalayana		1977-09-04		16010			4664889	51042	51042	198	47.5	98.63	0.96	Yersinia pestis	3	1		16010					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046667025.1	Yersinia pestis	SAMN44445077	Contig	SOURCE_DATABASE_GENBANK		China:Qinghai	Marmota himalayana		1977-07-17		770438			4667885	48900	48900	199	47.5	98.33	1.07	Yersinia pestis	3	1		770438					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	marmot
GCA_046666985.1	Yersinia pestis	SAMN44445078	Contig	SOURCE_DATABASE_GENBANK		China:Qinghai	dog		1978-08-29		17003			4721123	51042	51042	197	47.5	98.54	1.39	Yersinia pestis	3	1		17003					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	dog
GCA_046666965.1	Yersinia pestis	SAMN44445079	Contig	SOURCE_DATABASE_GENBANK		China:Inner Mongolia	flea		1978-10		146010			4554764	48667	48667	225	47.5	98.83	0.91	Yersinia pestis	3	1		146010					Illumina NovaSeq	Shovill v. 1.0.1	PRJNA1177432	A	high	flea
