accession	species	niche	n_plasmid_contigs	has_plasmid	rep_types	mobility_types	total_plasmid_bp
GCA_033786625.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	66753
GCA_033787685.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	66932
GCF_050859115.1	Yersinia enterocolitica	A	2	1	rep_cluster_214|IncFII,rep_cluster_2203,rep_cluster_645	-	182273
GCF_050859085.1	Yersinia enterocolitica	A	1	1	IncFII,rep_cluster_645	-	73424
GCF_046576585.1	Yersinia enterocolitica	A	6	1	rep_cluster_645|-|rep_cluster_2370|IncFII,rep_cluster_2203	-	73526
GCF_050859075.1	Yersinia enterocolitica	A	0	0			0
GCF_050859045.1	Yersinia enterocolitica	A	1	1	IncFII,rep_cluster_2203,rep_cluster_645	-	69696
GCF_050859035.1	Yersinia enterocolitica	A	0	0			0
GCA_033828205.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	66875
GCA_034405835.1	Yersinia enterocolitica	H	0	0			0
GCA_034405815.1	Yersinia enterocolitica	A	0	0			0
GCA_034406095.1	Yersinia enterocolitica	A	0	0			0
GCA_034406215.1	Yersinia enterocolitica	A	0	0			0
GCA_034525095.1	Yersinia enterocolitica	A	0	0			0
GCA_034406175.1	Yersinia enterocolitica	H	5	1	rep_cluster_214|-	-	55113
GCA_034406195.1	Yersinia enterocolitica	A	0	0			0
GCA_034406255.1	Yersinia enterocolitica	A	0	0			0
GCA_034406235.1	Yersinia enterocolitica	A	0	0			0
GCA_034406275.1	Yersinia enterocolitica	A	0	0			0
GCA_034405855.1	Yersinia enterocolitica	H	0	0			0
GCA_034405875.1	Yersinia enterocolitica	A	0	0			0
GCA_034405895.1	Yersinia enterocolitica	A	0	0			0
GCA_034405955.1	Yersinia enterocolitica	A	5	1	rep_cluster_2307|rep_cluster_214|-	-	107186
GCA_034406005.1	Yersinia enterocolitica	A	0	0			0
GCA_034405995.1	Yersinia enterocolitica	A	0	0			0
GCA_034405975.1	Yersinia enterocolitica	A	0	0			0
GCA_034405935.1	Yersinia enterocolitica	A	0	0			0
GCA_034406035.1	Yersinia enterocolitica	A	0	0			0
GCA_034406055.1	Yersinia enterocolitica	A	0	0			0
GCA_034406075.1	Yersinia enterocolitica	A	0	0			0
GCA_034406135.1	Yersinia enterocolitica	A	0	0			0
GCA_034406155.1	Yersinia enterocolitica	A	0	0			0
GCA_034406115.1	Yersinia enterocolitica	A	0	0			0
GCA_033947365.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	66370
GCA_033953325.1	Yersinia enterocolitica	H	3	1	rep_cluster_645|-	-	61171
GCA_033953345.1	Yersinia enterocolitica	H	6	1	-|IncFII,rep_cluster_2203|rep_cluster_645	-	70852
GCA_033953245.1	Yersinia enterocolitica	H	0	0			0
GCA_033953285.1	Yersinia enterocolitica	H	0	0			0
GCA_040132265.1	Yersinia enterocolitica	H	0	0			0
GCA_033953165.1	Yersinia enterocolitica	H	5	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	65512
GCA_033953305.1	Yersinia enterocolitica	H	0	0			0
GCA_033953105.1	Yersinia enterocolitica	H	0	0			0
GCA_033953225.1	Yersinia enterocolitica	H	7	1	rep_cluster_645|-|IncFII,rep_cluster_2203|rep_cluster_1433	-	72288
GCA_033953065.1	Yersinia enterocolitica	H	1	1	rep_cluster_901	-	75725
GCA_033953015.1	Yersinia enterocolitica	H	5	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	68011
GCA_033953005.1	Yersinia enterocolitica	H	4	1	-|IncN	-	35208
GCA_033952975.1	Yersinia enterocolitica	H	1	1	rep_cluster_1304	-	35727
GCA_033953085.1	Yersinia enterocolitica	H	0	0			0
GCA_036365035.1	Yersinia enterocolitica	H	0	0			0
GCA_033952885.1	Yersinia enterocolitica	H	0	0			0
GCA_033952835.1	Yersinia enterocolitica	H	3	1	rep_cluster_645|-	-	61165
GCA_033952865.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	66649
GCA_033952825.1	Yersinia enterocolitica	H	1	1	rep_cluster_1304	-	35923
GCA_034022355.1	Yersinia enterocolitica	H	0	0			0
GCA_034022335.1	Yersinia enterocolitica	H	1	1	rep_cluster_214	-	74734
GCA_033992965.1	Yersinia enterocolitica	H	2	1	rep_cluster_214|rep_cluster_2373	-	71800
GCA_033996765.1	Yersinia enterocolitica	H	13	1	-|rep_cluster_1304|Col(Ye4449)|rep_cluster_2373|ColRNAI_rep_cluster_1987	-	61924
GCA_033996725.1	Yersinia enterocolitica	H	3	1	rep_cluster_1304|-	-	37672
GCA_033996745.1	Yersinia enterocolitica	H	0	0			0
GCA_034016415.1	Yersinia enterocolitica	H	9	1	rep_cluster_214|rep_cluster_1304|-|ColRNAI_rep_cluster_1987	-	97244
GCA_034016395.1	Yersinia enterocolitica	H	0	0			0
GCA_034047075.1	Yersinia enterocolitica	F	9	1	rep_cluster_214|rep_cluster_1304|-	-	98823
GCA_034194825.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	66541
GCA_034146025.1	Yersinia enterocolitica	F	0	0			0
GCA_034144865.1	Yersinia enterocolitica	F	1	1	rep_cluster_957	-	108559
GCA_034144805.1	Yersinia enterocolitica	H	5	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	66428
GCA_034194785.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	66665
GCA_034232795.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	66345
GCA_034260315.1	Yersinia enterocolitica	H	0	0			0
GCF_050859135.1	Yersinia enterocolitica	A	2	1	rep_cluster_2335|IncFII,rep_cluster_2203,rep_cluster_645	-	89422
GCA_034670905.1	Yersinia enterocolitica	H	1	1	rep_cluster_2358	-	16656
GCA_034295935.1	Yersinia enterocolitica	H	7	1	rep_cluster_1304|-	-	73458
GCA_034295895.1	Yersinia enterocolitica	H	0	0			0
GCA_034295875.1	Yersinia enterocolitica	H	1	1	-	-	7090
GCA_034316845.1	Yersinia enterocolitica	H	1	1	rep_cluster_1304	-	31693
GCA_034295915.1	Yersinia enterocolitica	H	5	1	IncFII|Col(Ye4449)|-|ColRNAI_rep_cluster_1987	-	47443
GCA_034295855.1	Yersinia enterocolitica	H	1	1	Col(Ye4449)	-	4386
GCA_034305565.1	Yersinia enterocolitica	H	8	1	rep_cluster_214|-|rep_cluster_2335	-	90703
GCA_034670865.1	Yersinia enterocolitica	H	1	1	rep_cluster_1304	-	22742
GCA_034313505.1	Yersinia enterocolitica	H	1	1	rep_cluster_2358	-	16656
GCA_034404135.1	Yersinia enterocolitica	H	0	0			0
GCA_034404395.1	Yersinia enterocolitica	H	5	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	73395
GCA_034404655.1	Yersinia enterocolitica	H	5	1	rep_cluster_1304|rep_cluster_1804|-	-	109721
GCA_034405375.1	Yersinia enterocolitica	H	0	0			0
GCA_034404755.1	Yersinia enterocolitica	H	2	1	IncFII|-	-	33811
GCA_034404915.1	Yersinia enterocolitica	H	0	0			0
GCA_034405135.1	Yersinia enterocolitica	H	0	0			0
GCA_034405195.1	Yersinia enterocolitica	H	4	1	-|IncN	-	30699
GCA_034404175.1	Yersinia enterocolitica	H	0	0			0
GCA_034404215.1	Yersinia enterocolitica	H	0	0			0
GCA_034404235.1	Yersinia enterocolitica	H	6	1	-|ColRNAI_rep_cluster_1987|rep_cluster_2335|ColpVC	-	20353
GCA_034404275.1	Yersinia enterocolitica	H	5	1	rep_cluster_214|-	-	91457
GCA_034404335.1	Yersinia enterocolitica	H	3	1	-|rep_cluster_2358|ColRNAI_rep_cluster_1987	-	14875
GCA_034404295.1	Yersinia enterocolitica	H	0	0			0
GCA_034404355.1	Yersinia enterocolitica	H	0	0			0
GCA_034404435.1	Yersinia enterocolitica	H	4	1	rep_cluster_1304|-	-	39677
GCA_034404475.1	Yersinia enterocolitica	H	0	0			0
GCA_034404455.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67798
GCA_034404495.1	Yersinia enterocolitica	H	3	1	-|ColRNAI_rep_cluster_1987|rep_cluster_2358	-	16302
GCA_034404515.1	Yersinia enterocolitica	H	0	0			0
GCA_034404535.1	Yersinia enterocolitica	H	0	0			0
GCA_034404555.1	Yersinia enterocolitica	H	0	0			0
GCA_034404575.1	Yersinia enterocolitica	H	0	0			0
GCA_034404615.1	Yersinia enterocolitica	H	0	0			0
GCA_034404695.1	Yersinia enterocolitica	H	4	1	-|IncN	-	50068
GCA_034404635.1	Yersinia enterocolitica	H	1	1	ColRNAI_rep_cluster_1987	-	3223
GCA_034405235.1	Yersinia enterocolitica	H	0	0			0
GCA_034405335.1	Yersinia enterocolitica	H	4	1	IncFII|rep_cluster_1304|-|Col(Ye4449)	-	97877
GCA_034405305.1	Yersinia enterocolitica	H	0	0			0
GCA_034405295.1	Yersinia enterocolitica	H	1	1	Col(Ye4449)	-	4386
GCA_034405355.1	Yersinia enterocolitica	H	0	0			0
GCA_034405395.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	68066
GCA_034405415.1	Yersinia enterocolitica	H	9	1	-|ColRNAI_rep_cluster_1987	-	46298
GCA_034405435.1	Yersinia enterocolitica	H	1	1	rep_cluster_2335	-	4678
GCA_034405455.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	68105
GCA_034405475.1	Yersinia enterocolitica	H	0	0			0
GCA_034405495.1	Yersinia enterocolitica	H	3	1	rep_cluster_1304|rep_cluster_2335|ColpVC	-	43771
GCA_034405515.1	Yersinia enterocolitica	H	1	1	Col(Ye4449)	-	4386
GCA_034405555.1	Yersinia enterocolitica	H	0	0			0
GCA_034405535.1	Yersinia enterocolitica	H	7	1	IncC|rep_cluster_645|-|rep_cluster_2335	-	234087
GCA_034405575.1	Yersinia enterocolitica	H	3	1	IncFII|-|rep_cluster_645	-	65523
GCA_034405615.1	Yersinia enterocolitica	H	0	0			0
GCA_034405655.1	Yersinia enterocolitica	H	2	1	rep_cluster_214|rep_cluster_2373	-	71204
GCA_034405635.1	Yersinia enterocolitica	H	0	0			0
GCA_034405695.1	Yersinia enterocolitica	H	1	1	rep_cluster_957	-	140038
GCA_034405735.1	Yersinia enterocolitica	H	0	0			0
GCA_034405755.1	Yersinia enterocolitica	H	2	1	-|IncN	-	19160
GCA_034405775.1	Yersinia enterocolitica	H	2	1	-	-	41409
GCA_034405795.1	Yersinia enterocolitica	H	3	1	-|rep_cluster_1155	-	43230
GCA_034404715.1	Yersinia enterocolitica	H	3	1	IncFII|rep_cluster_1304|-	-	100405
GCA_034404765.1	Yersinia enterocolitica	H	1	1	rep_cluster_1304	-	31693
GCA_034404795.1	Yersinia enterocolitica	H	0	0			0
GCA_034404835.1	Yersinia enterocolitica	H	0	0			0
GCA_034404815.1	Yersinia enterocolitica	H	4	1	IncFII|rep_cluster_1304|-|Col(Ye4449)	-	105750
GCA_034404895.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|IncFII,rep_cluster_2203|-	-	72455
GCA_034404855.1	Yersinia enterocolitica	H	2	1	IncFII|-	-	63539
GCA_034404875.1	Yersinia enterocolitica	H	2	1	IncFII|-	-	63538
GCA_034404935.1	Yersinia enterocolitica	H	7	1	rep_cluster_1304|-|Col(Ye4449)|ColRNAI_rep_cluster_1987	-	63002
GCA_034404955.1	Yersinia enterocolitica	H	3	1	rep_cluster_1304|-	-	68622
GCA_034404975.1	Yersinia enterocolitica	H	3	1	IncFII|rep_cluster_1304|ColRNAI_rep_cluster_1987	-	89106
GCA_034404995.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67393
GCA_034405035.1	Yersinia enterocolitica	H	2	1	IncFII|-	-	48884
GCA_034405055.1	Yersinia enterocolitica	H	0	0			0
GCA_034405075.1	Yersinia enterocolitica	H	0	0			0
GCA_034405095.1	Yersinia enterocolitica	H	1	1	ColpVC	-	1934
GCA_034405115.1	Yersinia enterocolitica	H	0	0			0
GCA_034405215.1	Yersinia enterocolitica	H	8	1	rep_cluster_214|-|IncN	-	135024
GCA_034400055.1	Yersinia enterocolitica	F	1	1	rep_cluster_2335	-	1783
GCA_034418475.1	Yersinia enterocolitica	H	1	1	ColRNAI_rep_cluster_1987	-	3223
GCA_034441895.1	Yersinia enterocolitica	H	0	0			0
GCA_034441745.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67059
GCA_034440755.1	Yersinia enterocolitica	H	5	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	68730
GCA_034440775.1	Yersinia enterocolitica	H	5	1	rep_cluster_1304|-	-	51875
GCA_034440795.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	66537
GCA_034441665.1	Yersinia enterocolitica	H	0	0			0
GCA_034425535.1	Yersinia enterocolitica	H	0	0			0
GCA_034426855.1	Yersinia enterocolitica	H	0	0			0
GCA_034557915.1	Yersinia enterocolitica	H	7	1	rep_cluster_214|-|rep_cluster_2335	-	89603
GCA_034557935.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	66768
GCA_034557755.1	Yersinia enterocolitica	H	1	1	-	-	3883
GCA_034642085.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67756
GCA_034707555.1	Yersinia enterocolitica	H	1	1	rep_cluster_2373	-	4577
GCA_034868565.1	Yersinia enterocolitica	H	5	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	66891
GCA_034941745.1	Yersinia enterocolitica	H	5	1	-|IncFII,rep_cluster_2203|rep_cluster_645	-	70890
GCA_034941765.1	Yersinia enterocolitica	F	6	1	rep_cluster_1304|-	-	58301
GCA_045013205.1	Yersinia enterocolitica	H	4	1	-|rep_cluster_1304	-	71451
GCA_042705155.1	Yersinia enterocolitica	H	1	1	ColRNAI_rep_cluster_1987	-	3223
GCA_045012845.1	Yersinia enterocolitica	H	0	0			0
GCA_042705235.1	Yersinia enterocolitica	H	0	0			0
GCA_045012865.1	Yersinia enterocolitica	H	1	1	ColRNAI_rep_cluster_1987	-	5132
GCA_035894875.1	Yersinia enterocolitica	F	7	1	rep_cluster_901|IncFII|-	-	113820
GCA_035894895.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	66562
GCA_042844355.1	Yersinia enterocolitica	H	1	1	ColE10	-	9532
GCA_042827115.1	Yersinia enterocolitica	H	0	0			0
GCA_042844415.1	Yersinia enterocolitica	H	2	1	rep_cluster_957|rep_cluster_214	-	213844
GCA_035920545.1	Yersinia enterocolitica	H	5	1	-|IncFII,rep_cluster_2203|rep_cluster_645	-	71715
GCA_035920585.1	Yersinia enterocolitica	H	1	1	Col(Ye4449)	-	4928
GCA_035920565.1	Yersinia enterocolitica	H	5	1	Col(Ye4449)|ColRNAI_rep_cluster_1987|rep_cluster_2373	-	19947
GCA_035920525.1	Yersinia enterocolitica	H	4	1	rep_cluster_1304|-|IncP	-	66623
GCF_048593885.1	Yersinia sp. (novel candidate)	A	0	0			0
GCF_052217185.1	Yersinia sp. (novel candidate)	H	0	0			0
GCF_052217165.1	Yersinia sp. (novel candidate)	H	1	1	rep_cluster_1304	-	27686
GCF_052217145.1	Yersinia sp. (novel candidate)	H	0	0			0
GCF_048593855.1	Yersinia sp. (novel candidate)	U	0	0			0
GCF_048593865.1	Yersinia sp. (novel candidate)	H	0	0			0
GCF_052217125.1	Yersinia sp. (novel candidate)	H	0	0			0
GCF_052217105.1	Yersinia sp. (novel candidate)	U	0	0			0
GCA_042804395.1	Yersinia enterocolitica	H	9	1	rep_cluster_214|-	-	172597
GCA_042796575.1	Yersinia enterocolitica	H	5	1	-|rep_cluster_1304	-	65420
GCA_036249985.1	Yersinia enterocolitica	H	0	0			0
GCA_036249425.1	Yersinia enterocolitica	H	5	1	-|IncFII,rep_cluster_2203|rep_cluster_645	-	70737
GCA_036249405.1	Yersinia enterocolitica	H	0	0			0
GCA_042814425.1	Yersinia enterocolitica	H	6	1	rep_cluster_645|IncQ2|-|IncFII,rep_cluster_2203	-	97259
GCA_042807825.1	Yersinia enterocolitica	H	0	0			0
GCA_042807785.1	Yersinia enterocolitica	H	1	1	rep_cluster_2335	-	4666
GCA_042814505.1	Yersinia enterocolitica	H	4	1	-|ColRNAI_rep_cluster_1987	-	13349
GCA_042807735.1	Yersinia enterocolitica	H	0	0			0
GCA_036395875.1	Yersinia enterocolitica	H	0	0			0
GCA_036395955.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|IncFII,rep_cluster_2203|-	-	71346
GCA_036395935.1	Yersinia enterocolitica	H	5	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67705
GCA_036455865.1	Yersinia enterocolitica	H	0	0			0
GCA_036548155.1	Yersinia enterocolitica	H	5	1	rep_cluster_1304|-|rep_cluster_2335	-	54101
GCA_036548215.1	Yersinia enterocolitica	F	4	1	-|ColRNAI_rep_cluster_1987	-	51306
GCA_036548195.1	Yersinia enterocolitica	H	5	1	-|IncFII,rep_cluster_2203|rep_cluster_645	-	71141
GCA_036548135.1	Yersinia enterocolitica	F	0	0			0
GCA_036548075.1	Yersinia enterocolitica	H	5	1	-|ColE10|IncN	-	63930
GCA_036548035.1	Yersinia enterocolitica	H	5	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	68688
GCA_036548095.1	Yersinia enterocolitica	H	0	0			0
GCA_036548045.1	Yersinia enterocolitica	H	0	0			0
GCA_036547995.1	Yersinia enterocolitica	H	0	0			0
GCA_036547935.1	Yersinia enterocolitica	H	10	1	-|IncFII,rep_cluster_2203|IncN|rep_cluster_645	-	141222
GCA_036547835.1	Yersinia enterocolitica	H	5	1	-|IncFII,rep_cluster_2203|rep_cluster_645	-	71660
GCA_045000485.1	Yersinia enterocolitica	H	2	1	rep_cluster_1304|ColRNAI_rep_cluster_1987	-	34916
GCA_042819645.1	Yersinia enterocolitica	H	5	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	72599
GCA_045002135.1	Yersinia enterocolitica	H	0	0			0
GCA_045001425.1	Yersinia enterocolitica	H	2	1	IncFII|-	-	33811
GCA_036669875.1	Yersinia enterocolitica	H	0	0			0
GCF_036867315.1	Yersinia ruckeri	A	8	1	-|IncQ1	-	122729
GCF_036867495.1	Yersinia ruckeri	A	8	1	-|IncQ1	-	122750
GCF_036867325.1	Yersinia ruckeri	A	8	1	-	-	113409
GCF_036867535.1	Yersinia ruckeri	A	8	1	-|IncQ1	-	122729
GCF_036867455.1	Yersinia ruckeri	A	8	1	-|IncQ1	-	122729
GCA_036691585.1	Yersinia enterocolitica	H	5	1	-|IncFII,rep_cluster_2203|rep_cluster_645	-	72557
GCA_036691625.1	Yersinia enterocolitica	F	11	1	rep_cluster_901|-|rep_cluster_1304|rep_cluster_214	-	144619
GCA_036691705.1	Yersinia enterocolitica	H	3	1	Col(Ye4449)|rep_cluster_2358|ColRNAI_rep_cluster_1987	-	13861
GCA_036691665.1	Yersinia enterocolitica	H	0	0			0
GCA_036691645.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	66216
GCA_036691205.1	Yersinia enterocolitica	H	6	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	68369
GCA_036691225.1	Yersinia enterocolitica	F	13	1	-|rep_cluster_1304|rep_cluster_901|rep_cluster_214	-	141601
GCA_044978585.1	Yersinia enterocolitica	H	0	0			0
GCA_044978605.1	Yersinia enterocolitica	H	3	1	rep_cluster_1304|-	-	37675
GCA_044977225.1	Yersinia enterocolitica	H	6	1	rep_cluster_1304|-	-	72325
GCA_042708825.1	Yersinia enterocolitica	H	1	1	Col(Ye4449)	-	4386
GCA_036767355.1	Yersinia enterocolitica	H	0	0			0
GCA_042712715.1	Yersinia enterocolitica	H	2	1	-	-	19271
GCA_042839235.1	Yersinia enterocolitica	H	0	0			0
GCA_036815825.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	66537
GCA_036815845.1	Yersinia enterocolitica	F	0	0			0
GCA_042835855.1	Yersinia enterocolitica	H	0	0			0
GCA_036869365.1	Yersinia enterocolitica	F	0	0			0
GCA_036869425.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	66625
GCA_036869445.1	Yersinia enterocolitica	F	0	0			0
GCA_036868045.1	Yersinia enterocolitica	F	0	0			0
GCA_036868065.1	Yersinia enterocolitica	H	1	1	Col(Ye4449)	-	4928
GCA_042712015.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	68055
GCA_042832885.1	Yersinia enterocolitica	H	1	1	Col(Ye4449)	-	4386
GCA_042832805.1	Yersinia enterocolitica	H	5	1	rep_cluster_645|IncFII,rep_cluster_2203|-|IncN	-	81903
GCA_036978855.1	Yersinia enterocolitica	H	1	1	Col(Ye4449)	-	4928
GCA_036978815.1	Yersinia enterocolitica	H	5	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67925
GCA_036974475.1	Yersinia enterocolitica	F	5	1	-|rep_cluster_2335	-	28516
GCA_036974515.1	Yersinia enterocolitica	H	5	1	-|IncFII,rep_cluster_2203|rep_cluster_645	-	71952
GCA_036974375.1	Yersinia enterocolitica	F	0	0			0
GCA_036974435.1	Yersinia enterocolitica	H	1	1	rep_cluster_2335	-	4728
GCA_036974495.1	Yersinia enterocolitica	F	0	0			0
GCA_036974455.1	Yersinia enterocolitica	H	5	1	-|IncFII,rep_cluster_2203|rep_cluster_645	-	71117
GCA_042913885.1	Yersinia enterocolitica	H	1	1	rep_cluster_2335	-	2883
GCA_042913775.1	Yersinia enterocolitica	H	0	0			0
GCA_042913795.1	Yersinia enterocolitica	H	0	0			0
GCA_042913825.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	69551
GCA_042926045.1	Yersinia enterocolitica	H	2	1	rep_cluster_645|IncFII,rep_cluster_2203	-	72288
GCA_037097035.1	Yersinia enterocolitica	F	10	1	IncN|-|ColE10	-	70798
GCA_037097055.1	Yersinia enterocolitica	F	12	1	rep_cluster_1304|-|rep_cluster_214	-	104047
GCA_042930005.1	Yersinia enterocolitica	H	1	1	rep_cluster_1304	-	31693
GCA_037096195.1	Yersinia enterocolitica	H	1	1	Col(Ye4449)	-	4928
GCA_042939375.1	Yersinia enterocolitica	H	1	1	rep_cluster_2335	-	4666
GCA_042939295.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67528
GCA_044967645.1	Yersinia enterocolitica	H	1	1	Col(Ye4449)	-	4386
GCA_042939315.1	Yersinia enterocolitica	H	0	0			0
GCA_044967705.1	Yersinia enterocolitica	H	1	1	rep_cluster_1155	-	9548
GCA_044967605.1	Yersinia enterocolitica	H	1	1	rep_cluster_1155	-	9548
GCA_044967525.1	Yersinia enterocolitica	H	0	0			0
GCA_044967505.1	Yersinia enterocolitica	H	5	1	IncC,IncP|IncFII|-	-	265566
GCA_044967545.1	Yersinia enterocolitica	H	0	0			0
GCA_044967575.1	Yersinia enterocolitica	H	2	1	IncFII|-	-	112273
GCA_044967625.1	Yersinia enterocolitica	H	3	1	rep_cluster_1304|Col(Ye4449)|rep_cluster_2373	-	38788
GCA_045182225.1	Yersinia enterocolitica	H	7	1	IncC|IncP|IncFII|-	-	274346
GCA_044967565.1	Yersinia enterocolitica	H	0	0			0
GCA_042940335.1	Yersinia enterocolitica	H	1	1	Col(Ye4449)	-	4386
GCA_044967485.1	Yersinia enterocolitica	H	0	0			0
GCF_046034815.1	Yersinia enterocolitica	H	5	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67151
GCF_046034835.1	Yersinia enterocolitica	H	3	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	68070
GCF_046034795.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67332
GCF_046034775.1	Yersinia enterocolitica	H	1	1	-	-	3769
GCF_046034715.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67370
GCF_046034735.1	Yersinia enterocolitica	H	6	1	-|rep_cluster_645|IncQ1|IncFII,rep_cluster_2203	-	120923
GCF_046034755.1	Yersinia enterocolitica	H	0	0			0
GCF_046034695.1	Yersinia enterocolitica	H	5	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67298
GCF_046034675.1	Yersinia enterocolitica	H	1	1	rep_cluster_2335,rep_cluster_2373	-	2811
GCF_046034655.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67922
GCF_046034635.1	Yersinia enterocolitica	H	0	0			0
GCF_046034615.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67846
GCF_046034595.1	Yersinia enterocolitica	H	0	0			0
GCF_046034575.1	Yersinia enterocolitica	H	3	1	rep_cluster_645|IncFII,rep_cluster_2203|-	-	68412
GCF_046034535.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67797
GCF_046034515.1	Yersinia enterocolitica	H	0	0			0
GCF_046034555.1	Yersinia enterocolitica	H	1	1	Col(Ye4449)	-	5384
GCF_046034495.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67263
GCF_046034475.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|IncFII,rep_cluster_2203|-	-	72235
GCF_046034415.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67253
GCF_046034455.1	Yersinia enterocolitica	H	5	1	rep_cluster_645|-|IncQ1|IncFII,rep_cluster_2203	-	78786
GCF_046034435.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|IncFII,rep_cluster_2203|-	-	71669
GCF_046034395.1	Yersinia enterocolitica	H	1	1	-	-	76490
GCF_046034375.1	Yersinia enterocolitica	H	5	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67705
GCF_046034355.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67561
GCF_046034335.1	Yersinia enterocolitica	H	5	1	rep_cluster_645|rep_cluster_435|IncFII,rep_cluster_2203|-	-	109870
GCF_046034295.1	Yersinia enterocolitica	H	0	0			0
GCF_046034315.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67066
GCF_046034275.1	Yersinia enterocolitica	H	2	1	rep_cluster_1304|Col(Ye4449)	-	28676
GCF_046034235.1	Yersinia enterocolitica	H	6	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67721
GCF_046034215.1	Yersinia enterocolitica	H	3	1	rep_cluster_2358|-	-	13586
GCF_046034195.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67711
GCF_046034255.1	Yersinia enterocolitica	H	0	0			0
GCF_046034175.1	Yersinia proxima	H	0	0			0
GCF_046034155.1	Yersinia enterocolitica	H	0	0			0
GCF_046034115.1	Yersinia enterocolitica	H	1	1	IncFII	-	49106
GCF_046034135.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67606
